codigo_municipio_dv_agrupado,municipio_agrupado,uf,ano,vitimas_feminicidio,vitimas_homicidio_doloso,vitimas_lesao_corporal_seguida_de_morte,Mandado de prisão cumprido,vitimas_transito_ou_decorrencia_dele,vitimas_sem_indicio_de_crime,vitimas_latrocinio,vitimas_suicidios,Tentativa de feminicídio,vitimas_tentativa_homicidio,vitimas_totais,ano_pib,codigo_municipio_dv,vl_agropecuaria,vl_industria,vl_servicos,vl_administracao,vl_bruto_total,vl_subsidios,vl_pib,vl_pib_per_capta,CO_MUNICIPIO,Total_Habitantes
3104502,ARINOS,MG,2015,0.0,4.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,7.0,20.0,2015,3104502,39943.782,9040.026,72355.071,66261.036,187599.915,10233.111,197833.026,10857.42,3104502,17272
3104502,ARINOS,MG,2016,0.0,3.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,7.0,23.0,2016,3104502,46562.214,8532.094,68094.678,71002.273,194191.259,9727.497,203918.756,11184.66,3104502,17272
3104502,ARINOS,MG,2017,1.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,12.0,2017,3104502,40528.491,8855.761,71069.881,73952.38,194406.515,10915.6,205322.115,11254.84,3104502,17272
3104502,ARINOS,MG,2018,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,8.0,16.0,2018,3104502,42127.658,9129.312,79256.468,75735.132,206248.57,12736.967,218985.537,12242.04,3104502,17272
3104502,ARINOS,MG,2019,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,12.0,2019,3104502,37900.375,10762.596,88311.551,80140.673,217115.195,16615.493,233730.688,13075.84,3104502,17272
3104502,ARINOS,MG,2020,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,13.0,2020,3104502,76409.155,11462.502,90765.674,86249.935,264887.266,15292.705,280179.971,15685.81,3104502,17272
3104502,ARINOS,MG,2021,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,12.0,2021,3104502,96701.733,11575.852,101839.532,91004.967,301122.085,17497.511,318619.595,17849.84,3104502,17272
3109303,BURITIS,MG,2015,1.0,6.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,8.0,23.0,2015,3109303,212018.433,42301.084,214322.189,93173.632,561815.338,39918.869,601734.208,24710.86,3109303,24030
3109303,BURITIS,MG,2016,1.0,7.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,13.0,35.0,2016,3109303,288128.952,49696.021,192657.477,104527.516,635009.966,33583.237,668593.203,27262.81,3109303,24030
3109303,BURITIS,MG,2017,0.0,3.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,7.0,21.0,2017,3109303,259044.731,51878.425,229887.804,110742.719,651553.68,47649.079,699202.758,28320.42,3109303,24030
3109303,BURITIS,MG,2018,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,8.0,18.0,2018,3109303,294974.347,56459.141,275833.758,114967.357,742234.603,64968.462,807203.065,32729.31,3109303,24030
3109303,BURITIS,MG,2019,0.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,6.0,17.0,2019,3109303,268146.466,60281.185,267825.108,118541.588,714794.347,59514.702,774309.049,31170.61,3109303,24030
3109303,BURITIS,MG,2020,0.0,4.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,7.0,20.0,2020,3109303,449091.721,74765.442,257351.96,124040.163,905249.286,46178.511,951427.797,38037.33,3109303,24030
3109303,BURITIS,MG,2021,0.0,7.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,8.0,26.0,2021,3109303,625333.434,69514.316,283252.679,131633.782,1109734.211,54281.082,1164015.292,46229.61,3109303,24030
3109451,CABECEIRA GRANDE,MG,2015,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2015,3109451,47202.928,90788.835,28328.925,32158.55,198479.238,4701.017,203180.255,29613.8,3109451,6627
3109451,CABECEIRA GRANDE,MG,2016,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,2016,3109451,68624.484,45342.772,31787.36,34686.895,180441.512,5755.36,186196.872,26981.14,3109451,6627
3109451,CABECEIRA GRANDE,MG,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,3109451,68333.253,35883.701,33592.681,37350.831,175160.466,6236.73,181397.196,26137.92,3109451,6627
3109451,CABECEIRA GRANDE,MG,2018,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2018,3109451,63486.456,157964.173,37673.539,39085.168,298209.336,6451.083,304660.419,44096.17,3109451,6627
3109451,CABECEIRA GRANDE,MG,2019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2019,3109451,64607.22,149438.249,37390.8,41114.167,292550.437,7269.782,299820.219,43145.81,3109451,6627
3109451,CABECEIRA GRANDE,MG,2020,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,2020,3109451,114758.25,171894.684,48632.918,44851.375,380137.227,8448.146,388585.373,55607.52,3109451,6627
3109451,CABECEIRA GRANDE,MG,2021,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,12.0,2021,3109451,225232.058,130300.823,62561.132,48166.405,466260.419,11127.836,477388.255,67955.62,3109451,6627
